,0
0,5.987093336300795
1,4.218598568768141
2,7.560830602774746
3,5.9752112099703725
4,4.550662453870811
5,6.98253236774102
6,6.294793771056326
7,4.876023473958228
8,6.32893661891796
9,5.19233930611242
10,7.4059892083919445
11,3.667303581070734
12,4.839279240905368
13,6.302425429160164
14,4.307041123604633
15,4.971150781660936
16,6.937325416649342
17,5.2863726930514074
18,5.548202577765148
19,5.995130862134741
20,4.642387271354307
21,4.677429531059361
22,5.192408765817108
23,7.27766128406117
24,7.586856127346807
25,5.013086573630932
26,5.824110408502626
27,5.758600023823578
28,6.2981574608390005
29,7.283972026580762
30,4.517900793527626
31,3.896602965462654
32,5.7158966925633115
33,3.6809568379277926
34,6.26921979476405
35,4.5714580939673155
36,7.522134770195516
37,4.419350925043048
38,7.225633679469129
39,3.95572566185999
40,4.68084167847335
41,5.708862202589695
42,4.959397123044616
43,5.847674390513215
44,6.867207220492914
45,5.252862366941941
46,5.140425611240748
47,6.901315753046481
48,5.812563738962505
49,3.819251315322121
50,4.738640270561797
51,6.167697246403605
52,6.810193528725173
